名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
世茂城四期（世茂城东区）,龙泉驿大面,龙泉驿区大面镇天鹅西湖南路456号1栋1层15号,16678,塔楼,490户,4栋,商品房/使用权/私产,2015年 ,1.8至2.14元/平米/月,暂无信息,上海世茂置业发展有限公司
琥珀庭院,龙泉驿大面,南一路2666号,18686,塔楼/板楼,1269户,11栋,商品房/经济适用房/使用权,2011-2018年 ,1.8元/平米/月,业主自筹物业,成都帝景兴业房地产开发有限公司
万科金色城市二期,龙泉驿大面,大面镇行政学院旁,17720,塔板结合,1862户,7栋,商品房,2016-2017年 ,2.5至6.8元/平米/月,成都万科物业管理有限公司,成都万科龙锦置业有限公司
融创天府逸家三期,龙泉驿大面,金枫路天府逸家三期,14899,塔楼,2450户,7栋,商品房/经济适用房/私产,2000-2020年 ,2.1至6元/平米/月,碧桂园物业服务股份有限公司,成都市永平置业有限公司
百悦城云景,龙泉驿大面,"大面街道天鹅西湖南路899号,金桉路88号",9092,塔楼/板楼/塔板结合/平房,3359户,12栋,商品房/已购公房/使用权/私产,2010-2019年 ,2.9至4.8元/平米/月,成都金房物业有限公司,成都百城投资有限责任公司
首创万卷山,龙泉驿大面,青台山村五组首创万卷山,14930,板楼/塔板结合,4789户,25栋,商品房/使用权,2008-2017年 ,1.8至2元/平米/月,北京首万物业服务有限公司成都分公司,成都首创驿都置业有限公司
龙华二期B区,龙泉驿大面,荷华中路59号,9366,板楼,2376户,8栋,商品房/拆迁安置房/新居工程房,2010-2019年 ,0.5至1.2元/平米/月,业主自筹物业,无开发商
炜岸城一期,龙泉驿大面,金枫路炜岸城一期,19282,塔楼/板楼/塔板结合,4138户,72栋,商品房/使用权/私产,2010-2018年 ,1.9至4.5元/平米/月,暂无信息,四川炜岸房地产开发有限公司
世茂城四期,龙泉驿大面,"天鹅西湖南路, 天鹅西湖南路389,天鹅西湖南路333号",18630,塔楼/塔板结合,2750户,26栋,商品房/使用权/私产,2013-2018年 ,2.1至4.5元/平米/月,世茂天成物业服务集团有限公司成都分公司,成都世茂置业有限公司
龙城1号,龙泉驿大面,"龙城大道1号, 青台山路860号",18153,塔楼/板楼/塔板结合/平房,5084户,69栋,商品房/已购公房/限价商品房/使用权/私产,2008-2015年 ,1.29至5.2元/平米/月,成都安达祥和置业有限公司,成都志达房地产开发有限公司
