名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
幸福路,丰台北京南站,幸福路,0,板楼,306户,3栋,暂无信息,暂无信息,暂无信息,暂无信息,暂无信息
东滨河路小区,丰台北京南站,东滨河路小区,0,板楼,147户,1栋,暂无信息,暂无信息,暂无信息,暂无信息,暂无信息
开阳里三街,丰台北京南站,开阳里三街,0,板楼,16户,2栋,暂无信息,暂无信息,暂无信息,暂无信息,暂无信息
东四十条甲34号院,东城朝阳门内,东四十条甲34号院,103523,塔楼/板楼,374户,3栋,暂无信息,暂无信息,1.3至1.88元/平米/月,无物业管理服务,北京房修一建筑工程有限公司
北竹杆胡同,东城朝阳门内,北竹杆胡同,109942,板楼/平房,421户,4栋,暂无信息,暂无信息,0.5元/平米/月,北京天诺物业管理有限责任公司,北京住总房地产开发有限责任公司
北京INN,东城朝阳门内,"东水井胡同3号, 南小街",0,塔楼/板楼/塔板结合,1737户,10栋,暂无信息,暂无信息,8至8.06元/平米/月,北京鼎铭物业管理有限公司,北京住总房地产开发有限责任公司
烧酒胡同3号院,东城朝阳门内,烧酒胡同3号院,134460,板楼,136户,3栋,暂无信息,暂无信息,1.56元/平米/月,北京恒达物业管理有限责任公司,无开发商
南弓匠营胡同,东城朝阳门内,南弓匠营胡同,120910,板楼,510户,5栋,暂无信息,暂无信息,0.5至0.98元/平米/月,北京东方容和物业管理有限责任公司,北京住总集团有限责任公司
禄米仓东巷,东城朝阳门内,禄米仓东巷,265450,平房,75户,18栋,暂无信息,暂无信息,暂无信息,无物业管理服务,北京住总房地产有限公司
禄米仓胡同71号院,东城朝阳门内,禄米仓胡同71号院,124869,板楼,108户,2栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无开发商
东水井胡同,东城朝阳门内,东水井胡同,98681,塔楼/板楼,549户,3栋,暂无信息,暂无信息,0.98至8元/平米/月,北京鼎铭物业管理有限公司,北京北化房地产开发有限公司
大雅宝胡同,东城朝阳门内,大雅宝胡同,198400,平房,264户,66栋,暂无信息,暂无信息,暂无信息,街道办事处（委员会）代管物业,单位自建
芳嘉园胡同,东城朝阳门内,芳嘉园胡同,105800,板楼,670户,10栋,暂无信息,暂无信息,0.5元/平米/月,北京天诺物业管理有限责任公司,北京住总房地产开发有限责任公司
南竹杆胡同,东城朝阳门内,南竹杆胡同,107859,塔楼/板楼,738户,7栋,暂无信息,暂无信息,0.5至8元/平米/月,北京天诺物业管理有限责任公司,北京住总房地产开发有限责任公司
武学胡同,东城朝阳门内,武学胡同,189328,平房,55户,16栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无
小雅宝胡同,东城朝阳门内,小雅宝胡同,179866,平房,161户,43栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无开发公司
新鲜胡同,东城朝阳门内,新鲜胡同,142501,板楼,42户,1栋,暂无信息,暂无信息,0.5元/平米/月,北京天诺物业管理有限责任公司,北京城建置业有限公司
西水井胡同,东城朝阳门内,西水井胡同,103025,板楼/塔板结合/平房,871户,6栋,暂无信息,暂无信息,0.5至1元/平米/月,无物业管理服务,北京住总房地产开发有限责任公司
仓南胡同,东城朝阳门内,仓南胡同,117076,板楼,386户,6栋,暂无信息,暂无信息,0.5元/平米/月,无物业管理服务,北京住总集团有限责任公司
仓南胡同14号院,东城朝阳门内,朝阳门内大街75号院,123015,板楼,280户,2栋,暂无信息,暂无信息,1.58元/平米/月,无物业管理服务,北京市新兴装备研究院管理公司
朝内大街136号院,东城朝阳门内,朝阳门内大街136号院,108995,塔楼,361户,2栋,暂无信息,暂无信息,2.74至2.8元/平米/月,北京茂苑物业管理有限公司,北京城建集团
豆瓣胡同,东城朝阳门内,豆瓣胡同,131359,板楼/塔板结合,1830户,4栋,暂无信息,暂无信息,0.95至1元/平米/月,北京东方容和物业管理有限责任公司,北京住总房地产开发有限责任公司
朝阳门南小街,东城朝阳门内,朝阳门南小街,109752,塔楼/板楼/塔板结合/平房,2705户,24栋,暂无信息,暂无信息,0.98至1.5元/平米/月,北京亿方物业管理有限责任公司,北京城市开发集团有限责任公司
朝阳门北小街,东城朝阳门内,朝阳门北小街,119677,板楼/平房,898户,27栋,暂无信息,暂无信息,0.5元/平米/月,北京东方容和物业管理有限责任公司,北京住总房地产开发有限责任公司
朝阳门内大街75号院,东城朝阳门内,朝内大街75号院,124009,板楼,166户,1栋,暂无信息,暂无信息,4.7元/平米/月,北京欧陆苑物业管理有限责任公司,无开发商
大方家胡同,东城朝阳门内,大方家胡同,113587,板楼/平房,796户,15栋,暂无信息,暂无信息,0.5元/平米/月,北京亿方物业管理有限责任公司,北京住总房地产开发有限责任公司
南门仓胡同,东城朝阳门内,南门仓胡同,121422,板楼/平房,1119户,11栋,暂无信息,暂无信息,0.5元/平米/月,无物业管理服务,北京城建集团
禄米仓胡同,东城朝阳门内,禄米仓胡同,132809,板楼/平房,617户,46栋,暂无信息,暂无信息,暂无信息,无物业管理服务,北京城开股份有限公司
竹杆胡同,东城朝阳门内,竹杆胡同,108344,板楼/塔板结合,1056户,8栋,暂无信息,暂无信息,0.5至1元/平米/月,北京天诺物业管理有限责任公司,北京京西新远房地产经营开发公司
朝阳首府,东城朝阳门内,"朝阳首府, 朝阳门内大街8号",111276,塔楼/板楼,327户,4栋,暂无信息,暂无信息,6.5至24元/平米/月,北京假日阳光物业管理有限公司,北京龙洋房地产开发有限责任公司
仓南胡同12号院,东城朝阳门内,朝阳门内大街75号院,111629,板楼,268户,5栋,暂无信息,暂无信息,1.3至1.5元/平米/月,无物业管理服务,无开发商
朝阳门内大街,东城朝阳门内,朝阳门内大街201号院,96242,板楼/平房,796户,14栋,暂无信息,暂无信息,0.5至1元/平米/月,无物业管理服务,无开发商
后芳嘉园胡同,东城朝阳门内,后芳嘉园胡同,109367,板楼,259户,3栋,暂无信息,暂无信息,0.5元/平米/月,北京天诺物业管理有限责任公司,北京住总房地产开发有限责任公司
